Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
chronische_lungenerkrankungen_asthma,anamnese_risikofaktoren,,dropdown,Asthma,"1.2.276.0.76.5.502_J45.9__2.16.840.1.113883.6.96_195967001__2.16.840.1.113883.6.96_410605003,Ja | 1.2.276.0.76.5.502_J45.9__2.16.840.1.113883.6.96_195967001__2.16.840.1.113883.6.96_410594000,Nein | 1.2.276.0.76.5.502_J45.9__2.16.840.1.113883.6.96_195967001__2.16.840.1.113883.6.96_261665006,Unbekannt",,,,,,"[chronische_lungenerkrankungen] = ""1.2.276.0.76.5.502_J98.4__2.16.840.1.113883.6.96_413839001__2.16.840.1.113883.6.96_410605003""",,,,,,
chronische_lungenerkrankungen_copd,anamnese_risikofaktoren,,dropdown,Chronisch obstruktive Lungenkrankheit,"1.2.276.0.76.5.502_J44.9__2.16.840.1.113883.6.96_13645005__2.16.840.1.113883.6.96_410605003,Ja | 1.2.276.0.76.5.502_J44.9__2.16.840.1.113883.6.96_13645005__2.16.840.1.113883.6.96_410594000,Nein | 1.2.276.0.76.5.502_J44.9__2.16.840.1.113883.6.96_13645005__2.16.840.1.113883.6.96_261665006,Unbekannt",,,,,,"[chronische_lungenerkrankungen] = ""1.2.276.0.76.5.502_J98.4__2.16.840.1.113883.6.96_413839001__2.16.840.1.113883.6.96_410605003""",,,,,,
chronische_lungenerkrankungen_lungenfibrose,anamnese_risikofaktoren,,dropdown,Lungenfibrose,"1.2.276.0.76.5.502_J84.1__2.16.840.1.113883.6.96_51615001__2.16.840.1.113883.6.96_410605003,Ja | 1.2.276.0.76.5.502_J84.1__2.16.840.1.113883.6.96_51615001__2.16.840.1.113883.6.96_410594000,Nein | 1.2.276.0.76.5.502_J84.1__2.16.840.1.113883.6.96_51615001__2.16.840.1.113883.6.96_261665006,Unbekannt",,,,,,"[chronische_lungenerkrankungen] = ""1.2.276.0.76.5.502_J98.4__2.16.840.1.113883.6.96_413839001__2.16.840.1.113883.6.96_410605003""",,,,,,
chronische_lungenerkrankungen_lungenhochdruck_pulmonale_hypertonie,anamnese_risikofaktoren,,dropdown,Lungenhochdruck / Pulmonale Hypertonie,"1.2.276.0.76.5.502_I27.0__2.16.840.1.113883.6.96_70995007__2.16.840.1.113883.6.96_410605003,Ja | 1.2.276.0.76.5.502_I27.0__2.16.840.1.113883.6.96_70995007__2.16.840.1.113883.6.96_410594000,Nein | 1.2.276.0.76.5.502_I27.0__2.16.840.1.113883.6.96_70995007__2.16.840.1.113883.6.96_261665006,Unbekannt",,,,,,"[chronische_lungenerkrankungen] = ""1.2.276.0.76.5.502_J98.4__2.16.840.1.113883.6.96_413839001__2.16.840.1.113883.6.96_410605003""",,,,,,
chronische_lungenerkrankungen_ohs,anamnese_risikofaktoren,,dropdown,Obesitas-Hypoventilationssyndrom,"1.2.276.0.76.5.502_E66.29__2.16.840.1.113883.6.96_190966007__2.16.840.1.113883.6.96_410605003,Ja | 1.2.276.0.76.5.502_E66.29__2.16.840.1.113883.6.96_190966007__2.16.840.1.113883.6.96_410594000,Nein | 1.2.276.0.76.5.502_E66.29__2.16.840.1.113883.6.96_190966007__2.16.840.1.113883.6.96_261665006,Unbekannt",,,,,,"[chronische_lungenerkrankungen] = ""1.2.276.0.76.5.502_J98.4__2.16.840.1.113883.6.96_413839001__2.16.840.1.113883.6.96_410605003""",,,,,,
chronische_lungenerkrankungen_schlafapnoe,anamnese_risikofaktoren,,dropdown,Schlafapnoe,"1.2.276.0.76.5.502_G47.3__2.16.840.1.113883.6.96_73430006__2.16.840.1.113883.6.96_410605003,Ja | 1.2.276.0.76.5.502_G47.3__2.16.840.1.113883.6.96_73430006__2.16.840.1.113883.6.96_410594000,Nein | 1.2.276.0.76.5.502_G47.3__2.16.840.1.113883.6.96_73430006__2.16.840.1.113883.6.96_261665006,Unbekannt",,,,,,"[chronische_lungenerkrankungen] = ""1.2.276.0.76.5.502_J98.4__2.16.840.1.113883.6.96_413839001__2.16.840.1.113883.6.96_410605003""",,,,,,
chronische_lungenerkrankungen_osas,anamnese_risikofaktoren,,dropdown,Obstruktives Schlafapnoesyndrom,"1.2.276.0.76.5.502_G47.31__2.16.840.1.113883.6.96_78275009__2.16.840.1.113883.6.96_410605003,Ja | 1.2.276.0.76.5.502_G47.31__2.16.840.1.113883.6.96_78275009__2.16.840.1.113883.6.96_410594000,Nein | 1.2.276.0.76.5.502_G47.31__2.16.840.1.113883.6.96_78275009__2.16.840.1.113883.6.96_261665006,Unbekannt",,,,,,"[chronische_lungenerkrankungen] = ""1.2.276.0.76.5.502_J98.4__2.16.840.1.113883.6.96_413839001__2.16.840.1.113883.6.96_410605003""",,,,,,
chronische_lungenerkrankungen_cystische_fibrose,anamnese_risikofaktoren,,dropdown,Zystische Fibrose,"1.2.276.0.76.5.502_E84.9__2.16.840.1.113883.6.96_190905008__2.16.840.1.113883.6.96_410605003,Ja | 1.2.276.0.76.5.502_E84.9__2.16.840.1.113883.6.96_190905008__2.16.840.1.113883.6.96_410594000,Nein | 1.2.276.0.76.5.502_E84.9__2.16.840.1.113883.6.96_190905008__2.16.840.1.113883.6.96_261665006,Unbekannt",,,,,,"[chronische_lungenerkrankungen] = ""1.2.276.0.76.5.502_J98.4__2.16.840.1.113883.6.96_413839001__2.16.840.1.113883.6.96_410605003""",,,,,,
chronische_lungenerkrankungen_andere,anamnese_risikofaktoren,,dropdown,Andere,"2.16.840.1.113883.6.96_106048009__2.16.840.1.113883.6.96_410605003,Ja | 2.16.840.1.113883.6.96_106048009__2.16.840.1.113883.6.96_410594000,Nein | 2.16.840.1.113883.6.96_106048009__2.16.840.1.113883.6.96_261665006,Unbekannt",,,,,,"[chronische_lungenerkrankungen] = ""1.2.276.0.76.5.502_J98.4__2.16.840.1.113883.6.96_413839001__2.16.840.1.113883.6.96_410605003""",,,,,,
chronische_lungenerkrankungen_andere_textfeld,anamnese_risikofaktoren,,text,"<div align = ""right"">Bitte spezifieren:</div>",,,,,,,"[chronische_lungenerkrankungen_andere] = ""2.16.840.1.113883.6.96_106048009__2.16.840.1.113883.6.96_410605003""",,RH,,,,
herzkreislauferkrankungen_code,anamnese_risikofaktoren,Herz-Kreislauf-Erkrankungen,text,1.2.276.0.76.5.502_I51.6__2.16.840.1.113883.6.96_49601007,,,,,,,,,,,,,"@HIDDEN @DEFAULT=""1.2.276.0.76.5.502_I51.6__2.16.840.1.113883.6.96_49601007"""
herzkreislauferkrankungen,anamnese_risikofaktoren,Herz-Kreislauf-Erkrankungen,dropdown,Leidet der / die Patient*in unter einer Herz-Kreislauf-Erkrankung?,"1.2.276.0.76.5.502_I51.6__2.16.840.1.113883.6.96_49601007__2.16.840.1.113883.6.96_410605003,Ja | 1.2.276.0.76.5.502_I51.6__2.16.840.1.113883.6.96_49601007__2.16.840.1.113883.6.96_410594000,Nein | 1.2.276.0.76.5.502_I51.6__2.16.840.1.113883.6.96_49601007__2.16.840.1.113883.6.96_261665006,Unbekannt",,,,,,,,,,,,
herzkreislauferkrankungen_ignore_for_fhir,anamnese_risikofaktoren,,descriptive,An welcher Herz-Kreislauf-Erkrankung leidet der / die Patient*in?,,,,,,,"[herzkreislauferkrankungen] = ""1.2.276.0.76.5.502_I51.6__2.16.840.1.113883.6.96_49601007__2.16.840.1.113883.6.96_410605003""",,,,,,
herzkreislauferkrankungen_bluthochdruck,anamnese_risikofaktoren,,dropdown,Bluthochdruck,"1.2.276.0.76.5.502_I10.90__2.16.840.1.113883.6.96_38341003__2.16.840.1.113883.6.96_410605003,Ja | 1.2.276.0.76.5.502_I10.90__2.16.840.1.113883.6.96_38341003__2.16.840.1.113883.6.96_410594000,Nein | 1.2.276.0.76.5.502_I10.90__2.16.840.1.113883.6.96_38341003__2.16.840.1.113883.6.96_261665006,Unbekannt",,,,,,"[herzkreislauferkrankungen] = ""1.2.276.0.76.5.502_I51.6__2.16.840.1.113883.6.96_49601007__2.16.840.1.113883.6.96_410605003""",,,,,,
herzkreislauferkrankungen_zustand_nach_herzinfarkt,anamnese_risikofaktoren,,dropdown,Zustand nach Herzinfarkt,"1.2.276.0.76.5.502_I25.29__2.16.840.1.113883.6.96_399211009__2.16.840.1.113883.6.96_410605003,Ja | 1.2.276.0.76.5.502_I25.29__2.16.840.1.113883.6.96_399211009__2.16.840.1.113883.6.96_410594000,Nein | 1.2.276.0.76.5.502_I25.29__2.16.840.1.113883.6.96_399211009__2.16.840.1.113883.6.96_261665006,Unbekannt",,,,,,"[herzkreislauferkrankungen] = ""1.2.276.0.76.5.502_I51.6__2.16.840.1.113883.6.96_49601007__2.16.840.1.113883.6.96_410605003""",,,,,,
herzkreislauferkrankungen_herzrhythmusstoerungen,anamnese_risikofaktoren,,dropdown,Herzrhythmusstörungen,"1.2.276.0.76.5.502_I49.9__2.16.840.1.113883.6.96_698247007__2.16.840.1.113883.6.96_410605003,Ja | 1.2.276.0.76.5.502_I49.9__2.16.840.1.113883.6.96_698247007__2.16.840.1.113883.6.96_410594000,Nein | 1.2.276.0.76.5.502_I49.9__2.16.840.1.113883.6.96_698247007__2.16.840.1.113883.6.96_261665006,Unbekannt",,,,,,"[herzkreislauferkrankungen] = ""1.2.276.0.76.5.502_I51.6__2.16.840.1.113883.6.96_49601007__2.16.840.1.113883.6.96_410605003""",,,,,,
herzkreislauferkrankungen_herzinsuffizienz,anamnese_risikofaktoren,,dropdown,Herzinsuffizienz,"1.2.276.0.76.5.502_I50.9__2.16.840.1.113883.6.96_84114007__2.16.840.1.113883.6.96_410605003,Ja | 1.2.276.0.76.5.502_I50.9__2.16.840.1.113883.6.96_84114007__2.16.840.1.113883.6.96_410594000,Nein | 1.2.276.0.76.5.502_I50.9__2.16.840.1.113883.6.96_84114007__2.16.840.1.113883.6.96_261665006,Unbekannt",,,,,,"[herzkreislauferkrankungen] = ""1.2.276.0.76.5.502_I51.6__2.16.840.1.113883.6.96_49601007__2.16.840.1.113883.6.96_410605003""",,,,,,
herzkreislauferkrankungen_pavk,anamnese_risikofaktoren,,dropdown,Periphere arterielle Verschlusskrankheit,"1.2.276.0.76.5.502_I73.9__2.16.840.1.113883.6.96_399957001__2.16.840.1.113883.6.96_410605003,Ja | 1.2.276.0.76.5.502_I73.9__2.16.840.1.113883.6.96_399957001__2.16.840.1.113883.6.96_410594000,Nein | 1.2.276.0.76.5.502_I73.9__2.16.840.1.113883.6.96_399957001__2.16.840.1.113883.6.96_261665006,Unbekannt",,,,,,"[herzkreislauferkrankungen] = ""1.2.276.0.76.5.502_I51.6__2.16.840.1.113883.6.96_49601007__2.16.840.1.113883.6.96_410605003""",,,,,,
herzkreislauferkrankungen_zustand_nach_revaskularisation,anamnese_risikofaktoren,,dropdown,Zustand nach Revaskularisation,"1.2.276.0.76.5.502_Z95.5__2.16.840.1.113883.6.96_399261000__2.16.840.1.113883.6.96_410605003,Ja | 1.2.276.0.76.5.502_Z95.5__2.16.840.1.113883.6.96_399261000__2.16.840.1.113883.6.96_410594000,Nein | 1.2.276.0.76.5.502_Z95.5__2.16.840.1.113883.6.96_399261000__2.16.840.1.113883.6.96_261665006,Unbekannt",,,,,,"[herzkreislauferkrankungen] = ""1.2.276.0.76.5.502_I51.6__2.16.840.1.113883.6.96_49601007__2.16.840.1.113883.6.96_410605003""",,,,,,
herzkreislauferkrankungen_koronare_herzerkrankung_khk,anamnese_risikofaktoren,,dropdown,Koronare Herzerkrankung,"1.2.276.0.76.5.502_I25.1__2.16.840.1.113883.6.96_53741008__2.16.840.1.113883.6.96_410605003,Ja | 1.2.276.0.76.5.502_I25.1__2.16.840.1.113883.6.96_53741008__2.16.840.1.113883.6.96_410594000,Nein | 1.2.276.0.76.5.502_I25.1__2.16.840.1.113883.6.96_53741008__2.16.840.1.113883.6.96_261665006,Unbekannt",,,,,,"[herzkreislauferkrankungen] = ""1.2.276.0.76.5.502_I51.6__2.16.840.1.113883.6.96_49601007__2.16.840.1.113883.6.96_410605003""",,,,,,
herzkreislauferkrankungen_carotisstenose,anamnese_risikofaktoren,,dropdown,Karotisstenose,"1.2.276.0.76.5.502_I65.2__2.16.840.1.113883.6.96_64586002__2.16.840.1.113883.6.96_410605003,Ja | 1.2.276.0.76.5.502_I65.2__2.16.840.1.113883.6.96_64586002__2.16.840.1.113883.6.96_410594000,Nein | 1.2.276.0.76.5.502_I65.2__2.16.840.1.113883.6.96_64586002__2.16.840.1.113883.6.96_261665006,Unbekannt",,,,,,"[herzkreislauferkrankungen] = ""1.2.276.0.76.5.502_I51.6__2.16.840.1.113883.6.96_49601007__2.16.840.1.113883.6.96_410605003""",,,,,,
herzkreislauferkrankungen_andere,anamnese_risikofaktoren,,dropdown,Andere,"1.2.276.0.76.5.502_I51.6__2.16.840.1.113883.6.96_49601007__2.16.840.1.113883.6.96_410605003,Ja | 1.2.276.0.76.5.502_I51.6__2.16.840.1.113883.6.96_49601007__2.16.840.1.113883.6.96_410594000,Nein | 1.2.276.0.76.5.502_I51.6__2.16.840.1.113883.6.96_49601007__2.16.840.1.113883.6.96_261665006,Unbekannt",,,,,,"[herzkreislauferkrankungen] = ""1.2.276.0.76.5.502_I51.6__2.16.840.1.113883.6.96_49601007__2.16.840.1.113883.6.96_410605003""",,,,,,
herzkreislauferkrankungen_andere_textfeld,anamnese_risikofaktoren,,text,"<div align = ""right"">Bitte spezifieren:</div>",,,,,,,"[herzkreislauferkrankungen_andere] = ""1.2.276.0.76.5.502_I51.6__2.16.840.1.113883.6.96_49601007__2.16.840.1.113883.6.96_410605003""",,RH,,,,
chronische_lebererkrankungen_code,anamnese_risikofaktoren,Chronische Lebererkrankungen,text,1.2.276.0.76.5.502_K76.9__2.16.840.1.113883.6.96_328383001,,,,,,,,,,,,,"@HIDDEN @DEFAULT=""1.2.276.0.76.5.502_K76.9__2.16.840.1.113883.6.96_328383001"""
chronische_lebererkrankungen,anamnese_risikofaktoren,Chronische Lebererkrankungen,dropdown,Leidet der / die Patient*in an einer chronischen Lebererkrankung?,"1.2.276.0.76.5.502_K76.9__2.16.840.1.113883.6.96_328383001__2.16.840.1.113883.6.96_410605003,Ja | 1.2.276.0.76.5.502_K76.9__2.16.840.1.113883.6.96_328383001__2.16.840.1.113883.6.96_410594000,Nein | 1.2.276.0.76.5.502_K76.9__2.16.840.1.113883.6.96_328383001__2.16.840.1.113883.6.96_261665006,Unbekannt",,,,,,,,,,,,
chronische_lebererkrankungen_ignore_for_fhir,anamnese_risikofaktoren,,descriptive,An welcher chronischen Lebererkrankung leidet der / die Patient*in?,,,,,,,"[chronische_lebererkrankungen] = ""1.2.276.0.76.5.502_K76.9__2.16.840.1.113883.6.96_328383001__2.16.840.1.113883.6.96_410605003""",,,,,,
chronische_lebererkrankungen_fettleber,anamnese_risikofaktoren,,dropdown,Fettleber,"1.2.276.0.76.5.502_K76.0__2.16.840.1.113883.6.96_197321007__2.16.840.1.113883.6.96_410605003,Ja | 1.2.276.0.76.5.502_K76.0__2.16.840.1.113883.6.96_197321007__2.16.840.1.113883.6.96_410594000,Nein | 1.2.276.0.76.5.502_K76.0__2.16.840.1.113883.6.96_197321007__2.16.840.1.113883.6.96_261665006,Unbekannt",,,,,,"[chronische_lebererkrankungen] = ""1.2.276.0.76.5.502_K76.9__2.16.840.1.113883.6.96_328383001__2.16.840.1.113883.6.96_410605003""",,,,,,
chronische_lebererkrankungen_leberzirrhose,anamnese_risikofaktoren,,dropdown,Leberzirrhose,"1.2.276.0.76.5.502_K74.6__2.16.840.1.113883.6.96_19943007__2.16.840.1.113883.6.96_410605003,Ja | 1.2.276.0.76.5.502_K74.6__2.16.840.1.113883.6.96_19943007__2.16.840.1.113883.6.96_410594000,Nein | 1.2.276.0.76.5.502_K74.6__2.16.840.1.113883.6.96_19943007__2.16.840.1.113883.6.96_261665006,Unbekannt",,,,,,"[chronische_lebererkrankungen] = ""1.2.276.0.76.5.502_K76.9__2.16.840.1.113883.6.96_328383001__2.16.840.1.113883.6.96_410605003""",,,,,,
chronische_lebererkrankungen_chronische_infektioese_hepatitis,anamnese_risikofaktoren,,dropdown,Chronische infektiöse Hepatitis,"1.2.276.0.76.5.502_B18.9__2.16.840.1.113883.6.96_10295004__2.16.840.1.113883.6.96_410605003,Ja | 1.2.276.0.76.5.502_B18.9__2.16.840.1.113883.6.96_10295004__2.16.840.1.113883.6.96_410594000,Nein | 1.2.276.0.76.5.502_B18.9__2.16.840.1.113883.6.96_10295004__2.16.840.1.113883.6.96_261665006,Unbekannt",,,,,,"[chronische_lebererkrankungen] = ""1.2.276.0.76.5.502_K76.9__2.16.840.1.113883.6.96_328383001__2.16.840.1.113883.6.96_410605003""",,,,,,
